annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
368,GPT OSS 120B · 8 000 TPM,della,2,2,1,2,della,AGI_PATRONATO_182_R3_04 | AGI_PATRONATO_182_R3_01,agi_patronato,Paco | Alba,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",2,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Abreviaturas — Expansión completa",False,della
369,GPT OSS 120B · 8 000 TPM,dexo,2,2,1,2,dexo,BnF_112_02 | BnF_112_23,bnf_112,Arturo | Edna,Filológicas - instrucciones,x sibilante → j,2,Filológicas - instrucciones — x sibilante → j | Acentuación — No sub-rule assigned,False,dexo
370,GPT OSS 120B · 8 000 TPM,firme,2,2,2,1,firme,BnF_112_25 | BnF_113_04,bnf_112 | bnf_113,Paco,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Cambios — Inserción,False,firme
371,GPT OSS 120B · 8 000 TPM,iglecia,2,2,1,2,Iglecia,BNE_ms3047_4 | BNE_ms3047_1,bne_ms3047,Javier | Rodrigo,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes | Filológicas - mecánicas — Regularización de vibrantes,False,iglecia
372,Llama 3.3 70B · 12 000 TPM,"justicia,",2,2,2,1,"justicia,",BnF_075_035 | UIA_Ms149_Exp2_51,bnf_075 | uia_ms149,Arturo,Puntuación,"Coma (,)",2,"Puntuación — Coma (,)",False,"justicia,"
373,Llama 3.3 70B · 12 000 TPM,mandato,2,2,1,2,mandato,AGN_GralParte_v001_exp1020_02 | AGN_GralParte_v006_exp617_02,agn_gralparte,Edna | Rodrigo,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Cambios — Inserción | Cambios — Sustitución,False,mandato
374,Llama 3.3 70B · 12 000 TPM,mil quinientos setenta,2,2,2,1,mil quinientos setenta,BnF_119-148_18 | utblac_wbs_0912a_duplicated,bnf_119-148 | utblac_wbs,Arturo,Cambios,Deleción,2,Cambios — Deleción,False,mil quinientos setenta
375,Llama 3.3 70B · 12 000 TPM,noroeste,2,2,1,2,noroeste,BnF_174_03 | BnF_174_04,bnf_174,Arturo | Paloma,Cambios,Sustitución,2,Cambios — Sustitución,False,noroeste
376,GPT OSS 120B · 8 000 TPM,oydores,2,2,1,2,oydores,AGI_PATRONATO_182_R3_04 | AGI_PATRONATO_182_R3_01,agi_patronato,Paco | Alba,Filológicas - instrucciones,No sub-rule assigned,1,Filológicas - instrucciones — No sub-rule assigned | Filológicas - instrucciones — Regularización de i/y vocálicas,False,oydores
377,GPT OSS 120B · 8 000 TPM,paso,2,2,2,1,paso,AGI_PATRONATO_182_R3_04 | BnF_104_2,agi_patronato | bnf_104,Paco,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,paso
378,Llama 3.3 70B · 12 000 TPM,"paz, y",2,2,2,1,"Paz, y | paz, y",AGS_CE_RG_L379_02 | BnF_174_03,ags_ce | bnf_174,Arturo,Puntuación,"Coma (,)",2,"Puntuación — Coma (,)",False,"paz, y"
379,Llama 3.3 70B · 12 000 TPM,pro,2,2,2,1,pro,BnF_104_3 | BnF_110_33,bnf_104 | bnf_110,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,False,pro
380,GPT OSS 120B · 8 000 TPM,sigtes,2,2,1,2,Sigtes | sigtes,BNE_ms3047_4 | BNE_ms3047_1,bne_ms3047,Javier | Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,sigtes
381,Llama 3.3 70B · 12 000 TPM,so,2,2,1,2,So,BnF_117_13 | BnF_117_03,bnf_117,Paco | Arturo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,so
382,Llama 3.3 70B · 12 000 TPM,teniente,2,2,2,1,teniente,BnF_113_43 | BnF_174_04,bnf_113 | bnf_174,Paloma,Cambios,Sustitución,2,Cambios — Sustitución,False,teniente
383,Llama 3.3 70B · 12 000 TPM,theniente,2,2,1,2,Theniente,BnF_174_02 | BnF_174_03,bnf_174,Javier | Arturo,Cambios,No sub-rule assigned,1,Cambios — No sub-rule assigned | Filológicas - mecánicas — Simplificación de grupos consonánticos,False,theniente
384,GPT OSS 120B · 8 000 TPM,tie,2,2,1,2,tie,BNE_ms3047_4 | BNE_ms3047_1,bne_ms3047,Javier | Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,tie
385,Llama 3.3 70B · 12 000 TPM,"tierras, y",2,2,2,1,"tierras, y",BnF_174_03 | UIA_Ms149_Exp2_51,bnf_174 | uia_ms149,Arturo,Puntuación,"Coma (,)",2,"Puntuación — Coma (,)",False,"tierras, y"
386,Llama 3.3 70B · 12 000 TPM,verdad,2,2,2,1,verdad,AGN_AHHacienda_v268_exp046_03 | BnF_032_23,agn_ahhacienda | bnf_032,Arturo,Cambios,Sustitución,1,Cambios — Sustitución | Puntuación — No sub-rule assigned,False,verdad
387,Llama 3.3 70B · 12 000 TPM,y lo,2,2,2,1,y lo,BnF_111_22 | BnF_113_43,bnf_111 | bnf_113,Paloma,Cambios,Sustitución,2,Cambios — Sustitución,False,y lo
388,Llama 3.3 70B · 12 000 TPM,1576,2,1,1,1,1576,BnF_119-148_24,bnf_119-148,Adriana,Cambios,Sustitución,2,Cambios — Sustitución,False,1576
389,Llama 3.3 70B · 12 000 TPM,1619,2,1,1,1,1619,AGN_HospJesus_c205_exp041_04,agn_hospjesus,Flor,Cambios,Otros,2,Cambios — Otros,False,1619
390,GPT OSS 120B · 8 000 TPM,4a,2,1,1,1,4a,BNE_ms3047_1,bne_ms3047,Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,4a
391,Llama 3.3 70B · 12 000 TPM,a los,2,1,1,1,a los,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Inserción,2,Cambios — Inserción,False,a los
392,Llama 3.3 70B · 12 000 TPM,a quien,2,1,1,1,a quien,BnF_174_04,bnf_174,Paloma,Cambios,Deleción,2,Cambios — Deleción,False,a quien
393,GPT OSS 120B · 8 000 TPM,a servido,2,1,1,1,a Servido,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Filológicas - instrucciones,Regularización de H etimológica,2,Filológicas - instrucciones — Regularización de H etimológica,False,a servido
394,Llama 3.3 70B · 12 000 TPM,abadía,2,1,1,1,Abadía | abadía,BnF_104_3,bnf_104,Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,abadía
395,Llama 3.3 70B · 12 000 TPM,"aguardados, y",2,1,1,1,"aguardados, y",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",2,"Puntuación — Coma (,)",False,"aguardados, y"
396,GPT OSS 120B · 8 000 TPM,albaneses,2,1,1,1,albaneses,BnF_030_21,bnf_030,Edna,Cambios,Inserción,2,Cambios — Inserción | Cambios — Sustitución,False,albaneses
397,GPT OSS 120B · 8 000 TPM,albañiles,2,1,1,1,albañiles,BnF_030_21,bnf_030,Edna,Cambios,Inserción,2,Cambios — Inserción,False,albañiles
398,GPT OSS 120B · 8 000 TPM,aldees,2,1,1,1,aldees,BnF_075_014,bnf_075,Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,aldees
399,Llama 3.3 70B · 12 000 TPM,algunos,2,1,1,1,algunos,BnF_266_06,bnf_266,Adriana,Cambios,Sustitución,2,Cambios — Sustitución,False,algunos
400,Llama 3.3 70B · 12 000 TPM,allã­,2,1,1,1,allÃ­,BnF_266_05,bnf_266,Adriana,Cambios,Otros,2,Cambios — Otros | Cambios — Sustitución,False,allã­
401,GPT OSS 120B · 8 000 TPM,alto,2,1,1,1,alto,BnF_104_2,bnf_104,Paco,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Cambios — Sustitución,False,alto
402,GPT OSS 120B · 8 000 TPM,ano,2,1,1,1,ano,BnF_113_22,bnf_113,Paloma,Filológicas - instrucciones,Regularización de la nasal palatal,2,Filológicas - instrucciones — Regularización de la nasal palatal,False,ano
403,Llama 3.3 70B · 12 000 TPM,asã­,2,1,1,1,asÃ­,BnF_266_05,bnf_266,Adriana,Cambios,Otros,2,Cambios — Otros | Cambios — Sustitución,False,asã­
404,GPT OSS 120B · 8 000 TPM,azãºcar,2,1,1,1,azÃºcar,BNE_ms3047_1,bne_ms3047,Rodrigo,Cambios,Otros,2,Cambios — Otros,False,azãºcar
405,GPT OSS 120B · 8 000 TPM,aã±os,2,1,1,1,aÃ±os,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Filológicas - instrucciones,Regularización de la nasal palatal,2,Filológicas - instrucciones — Regularización de la nasal palatal,False,aã±os
406,Llama 3.3 70B · 12 000 TPM,año. juan,2,1,1,1,año. Juan,AGI_CONTRATACION_1089_N8_176,agi_contratacion,Flor,Cambios,Deleción,1,Cambios — Deleción | Filológicas - instrucciones — Regularización de labiales (b/v) | Puntuación — Punto (.),False,año. juan
407,GPT OSS 120B · 8 000 TPM,años el,2,1,1,1,años el,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Puntuación,Punto (.),2,Puntuación — Punto (.),False,años el
408,GPT OSS 120B · 8 000 TPM,años por,2,1,1,1,años por,AGN_Tierras_v039-2_exp003_72,agn_tierras,Edna,Abreviaturas,Expansión completa,2,"Abreviaturas — Expansión completa | Puntuación — Coma (,)",False,años por
409,Llama 3.3 70B · 12 000 TPM,bido,2,1,1,1,bido,BnF_111_22,bnf_111,Paloma,Filológicas - instrucciones,Regularización de labiales (b/v),2,Filológicas - instrucciones — Regularización de labiales (b/v),False,bido
410,GPT OSS 120B · 8 000 TPM,bos,2,1,1,1,bos,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Filológicas - instrucciones,Regularización de labiales (b/v),2,Filológicas - instrucciones — Regularización de labiales (b/v),False,bos
411,GPT OSS 120B · 8 000 TPM,báez,2,1,1,1,Báez,BnF_075_014,bnf_075,Alba,Cambios,No sub-rule assigned,2,Cambios — No sub-rule assigned,False,báez
412,GPT OSS 120B · 8 000 TPM,caballeria,2,1,1,1,caballeria,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,caballeria
413,GPT OSS 120B · 8 000 TPM,campos,2,1,1,1,campos,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Puntuación,Punto (.),2,Puntuación — Punto (.),False,campos
414,GPT OSS 120B · 8 000 TPM,celemis,2,1,1,1,celemis,BnF_030_27,bnf_030,Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,celemis
415,Llama 3.3 70B · 12 000 TPM,ciento,2,1,1,1,ciento,BnF_116_07,bnf_116,Adriana,Cambios,Sustitución,2,Cambios — Sustitución,False,ciento
416,GPT OSS 120B · 8 000 TPM,cientos,2,1,1,1,cientos,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Cambios — Sustitución,False,cientos
417,GPT OSS 120B · 8 000 TPM,cierra,2,1,1,1,cierra,BNE_ms3047_4,bne_ms3047,Javier,Filológicas - mecánicas,Regularización de sibilantes,2,Filológicas - mecánicas — Regularización de sibilantes,False,cierra
418,Llama 3.3 70B · 12 000 TPM,cobrado y,2,1,1,1,cobrado y,AGN_AHHacienda_v268_exp046_02,agn_ahhacienda,Paloma,Cambios,Sustitución,2,Cambios — Sustitución,False,cobrado y
419,Llama 3.3 70B · 12 000 TPM,combate,2,1,1,1,combate,BnF_266_03,bnf_266,Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Cambios — Sustitución,False,combate
420,Llama 3.3 70B · 12 000 TPM,compa.,2,1,1,1,Compa. | compa.,BnF_174_03,bnf_174,Arturo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,compa.
421,GPT OSS 120B · 8 000 TPM,comun,2,1,1,1,comun,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,comun
422,GPT OSS 120B · 8 000 TPM,común,2,1,1,1,común,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,común
423,GPT OSS 120B · 8 000 TPM,conde,2,1,1,1,conde,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,conde
424,GPT OSS 120B · 8 000 TPM,conoscio,2,1,1,1,conoscio,BnF_111_20,bnf_111,Flor,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Filológicas - mecánicas — Regularización de sibilantes,False,conoscio
425,Llama 3.3 70B · 12 000 TPM,consentí,2,1,1,1,consentí,BnF_113_43,bnf_113,Paloma,Cambios,Deleción,2,Cambios — Deleción,False,consentí
426,Llama 3.3 70B · 12 000 TPM,conviene,2,1,1,1,conviene,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Sustitución,2,Cambios — Sustitución,False,conviene
427,Llama 3.3 70B · 12 000 TPM,corona,2,1,1,1,corona,AGN_RealesCedDup_v003_exp334,agn_realesceddup,Alba,Cambios,Deleción,2,Cambios — Deleción,False,corona
428,GPT OSS 120B · 8 000 TPM,crela,2,1,1,1,crela,BnF_075_014,bnf_075,Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,crela
429,Llama 3.3 70B · 12 000 TPM,cuarta,2,1,1,1,cuarta,AMP_AC_v021__doc026_2,amp_ac,Alba,Abreviaturas,No sub-rule assigned,2,Abreviaturas — No sub-rule assigned,False,cuarta
430,Llama 3.3 70B · 12 000 TPM,culuacán,2,1,1,1,Culuacán,UIA_Ms149_Exp3_31,uia_ms149,Alba,Cambios,Sustitución,2,Cambios — Sustitución,False,culuacán
431,GPT OSS 120B · 8 000 TPM,cuyo,2,1,1,1,cuyo,BnF_030_20,bnf_030,Paloma,Cambios,Sustitución,2,Cambios — Sustitución,False,cuyo
432,GPT OSS 120B · 8 000 TPM,cédulas,2,1,1,1,cédulas,AGN_Indios_v019_exp354_2,agn_indios,Alba,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,cédulas
433,Llama 3.3 70B · 12 000 TPM,córdova,2,1,1,1,Córdova,utblac_gg_mss_g62_duplicated_11,utblac_gg,Alba,Filológicas - instrucciones,Regularización de labiales (b/v),2,Filológicas - instrucciones — Regularización de labiales (b/v),False,córdova
434,Llama 3.3 70B · 12 000 TPM,de cuatro,2,1,1,1,de cuatro,BnF_266_06,bnf_266,Adriana,Cambios,Deleción,2,Cambios — Deleción,False,de cuatro
435,Llama 3.3 70B · 12 000 TPM,de esa,2,1,1,1,de esa,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Inserción,2,Cambios — Inserción,False,de esa
436,GPT OSS 120B · 8 000 TPM,de las,2,1,1,1,de las,AGI_INDIFERENTE_2065_N45_09,agi_indiferente,Rodrigo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",2,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",False,de las
437,Llama 3.3 70B · 12 000 TPM,debiera,2,1,1,1,debiera,BnF_119-148_18,bnf_119-148,Arturo,Cambios,Sustitución,2,Cambios — Sustitución,False,debiera
438,GPT OSS 120B · 8 000 TPM,del año,2,1,1,1,del año,BnF_030_27,bnf_030,Rodrigo,Cambios,Deleción,2,Cambios — Deleción,False,del año
439,GPT OSS 120B · 8 000 TPM,dellas,2,1,1,1,dellas,BnF_032_36,bnf_032,Paco,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",2,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",False,dellas
440,GPT OSS 120B · 8 000 TPM,dices,2,1,1,1,dices,AGI_GUADALAJARA_230_L2_F_45V-46V_2,agi_guadalajara,Adriana,Cambios,Sustitución,2,Cambios — Sustitución,False,dices
441,Llama 3.3 70B · 12 000 TPM,dijeran,2,1,1,1,dijeran,BnF_266_05,bnf_266,Adriana,Cambios,No sub-rule assigned,2,Cambios — No sub-rule assigned,False,dijeran
442,GPT OSS 120B · 8 000 TPM,domyngo,2,1,1,1,domyngo,BnF_111_20,bnf_111,Flor,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de i/y vocálicas,False,domyngo
443,Llama 3.3 70B · 12 000 TPM,done,2,1,1,1,done,BnF_264_03,bnf_264,Adriana,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,done
444,GPT OSS 120B · 8 000 TPM,enter,2,1,1,1,enter |  enter,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Cambios — Otros,False,enter
445,Llama 3.3 70B · 12 000 TPM,escriano,2,1,1,1,escriano,BnF_075_035,bnf_075,Arturo,Abreviaturas,No sub-rule assigned,2,Abreviaturas — No sub-rule assigned,False,escriano
446,GPT OSS 120B · 8 000 TPM,escribo,2,1,1,1,escribo,BnF_104_2,bnf_104,Paco,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,escribo
447,GPT OSS 120B · 8 000 TPM,escrio,2,1,1,1,escrio,AGI_PATRONATO_182_R3_04,agi_patronato,Paco,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,escrio
448,GPT OSS 120B · 8 000 TPM,esnia,2,1,1,1,esnia,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,esnia
449,GPT OSS 120B · 8 000 TPM,esno,2,1,1,1,esno,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,esno
450,GPT OSS 120B · 8 000 TPM,etra,2,1,1,1,etra,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,etra
451,Llama 3.3 70B · 12 000 TPM,francesa,2,1,1,1,francesa,BnF_266_03,bnf_266,Rodrigo,Cambios,Inserción,2,Cambios — Inserción,False,francesa
452,GPT OSS 120B · 8 000 TPM,garcía indio,2,1,1,1,García indio,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Puntuación,No sub-rule assigned,2,Puntuación — No sub-rule assigned,False,garcía indio
453,GPT OSS 120B · 8 000 TPM,gaspar,2,1,1,1,Gaspar | gaspar,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Cambios,No sub-rule assigned,2,Cambios — No sub-rule assigned | Cambios — Otros,False,gaspar
454,GPT OSS 120B · 8 000 TPM,gastan,2,1,1,1,gastan,BnF_030_27,bnf_030,Rodrigo,Cambios,Sustitución,2,Cambios — Sustitución,False,gastan
455,GPT OSS 120B · 8 000 TPM,gonzalez,2,1,1,1,gonzaLez | gonzalez,AGI_CONTRATACION_1183_N8_78,agi_contratacion,Adriana,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,gonzalez
456,GPT OSS 120B · 8 000 TPM,gos,2,1,1,1,Gos,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,gos
457,GPT OSS 120B · 8 000 TPM,gros,2,1,1,1,gros,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,gros
458,GPT OSS 120B · 8 000 TPM,guzman,2,1,1,1,guzman,AGI_PATRONATO_182_R3_01,agi_patronato,Alba,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,guzman
459,GPT OSS 120B · 8 000 TPM,gã©neros,2,1,1,1,gÃ©neros,AGN_Marina_v004_exp006_014,agn_marina,Javier,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,gã©neros
460,Llama 3.3 70B · 12 000 TPM,habã­a,2,1,1,1,habÃ­a,BnF_266_05,bnf_266,Adriana,Cambios,Otros,2,Cambios — Otros | Cambios — Sustitución,False,habã­a
461,Llama 3.3 70B · 12 000 TPM,habã­an,2,1,1,1,habÃ­an,BnF_266_05,bnf_266,Adriana,Cambios,Otros,2,Cambios — Otros | Cambios — Sustitución,False,habã­an
462,Llama 3.3 70B · 12 000 TPM,hacer,2,1,1,1,hacer,BnF_264_12,bnf_264,Edna,Cambios,Sustitución,2,Cambios — Sustitución,False,hacer
463,Llama 3.3 70B · 12 000 TPM,hará,2,1,1,1,hará,BnF_104_3,bnf_104,Alba,Cambios,Deleción,2,Cambios — Deleción,False,hará
464,GPT OSS 120B · 8 000 TPM,hazienda,2,1,1,1,hazienda,BnF_112_23,bnf_112,Edna,Filológicas - mecánicas,Regularización de sibilantes,2,Filológicas - mecánicas — Regularización de sibilantes,False,hazienda
465,GPT OSS 120B · 8 000 TPM,herdo,2,1,1,1,herdo,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,herdo
466,Llama 3.3 70B · 12 000 TPM,hermano don,2,1,1,1,hermano don,BnF_118_08,bnf_118,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,) | Puntuación — No sub-rule assigned",False,hermano don
467,GPT OSS 120B · 8 000 TPM,hordinario,2,1,1,1,hordinario,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Filológicas - instrucciones,Regularización de H etimológica,2,Filológicas - instrucciones — Regularización de H etimológica,False,hordinario
468,GPT OSS 120B · 8 000 TPM,huso,2,1,1,1,huso,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Filológicas - instrucciones,Regularización de H etimológica,2,Filológicas - instrucciones — Regularización de H etimológica,False,huso
469,GPT OSS 120B · 8 000 TPM,ilustre,2,1,1,1,ilustre,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,ilustre
470,GPT OSS 120B · 8 000 TPM,interpretó,2,1,1,1,interpretó,BnF_113_22,bnf_113,Paloma,Cambios,Sustitución,2,Cambios — Sustitución,False,interpretó
471,GPT OSS 120B · 8 000 TPM,jul,2,1,1,1,jul,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,jul
472,GPT OSS 120B · 8 000 TPM,juron,2,1,1,1,Juron,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de H etimológica | Filológicas - instrucciones — Regularización de i/y vocálicas,False,juron
473,GPT OSS 120B · 8 000 TPM,la estancia,2,1,1,1,la estancia,BnF_111_20,bnf_111,Flor,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,la estancia
474,GPT OSS 120B · 8 000 TPM,la piedra,2,1,1,1,la piedra,BnF_030_21,bnf_030,Edna,Cambios,Deleción,2,Cambios — Deleción,False,la piedra
475,GPT OSS 120B · 8 000 TPM,la voluntad de,2,1,1,1,la voluntad de,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Cambios,No sub-rule assigned,2,Cambios — No sub-rule assigned,False,la voluntad de
476,GPT OSS 120B · 8 000 TPM,las,2,1,1,1,Las,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Cambios,Otros,2,Cambios — Otros,False,las
477,Llama 3.3 70B · 12 000 TPM,les dijo,2,1,1,1,les dijo,BnF_266_07,bnf_266,Paco,Cambios,Otros,2,Cambios — Otros,False,les dijo
478,GPT OSS 120B · 8 000 TPM,licz.,2,1,1,1,Licz.,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,licz.
479,GPT OSS 120B · 8 000 TPM,lizdo,2,1,1,1,lizdo,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,lizdo
480,Llama 3.3 70B · 12 000 TPM,los indios,2,1,1,1,los indios,BnF_264_12,bnf_264,Edna,Cambios,Deleción,2,Cambios — Deleción,False,los indios
481,GPT OSS 120B · 8 000 TPM,"martín, el",2,1,1,1,"Martín, el",AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",2,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Deleción",False,"martín, el"
